MLP Training & Testing: Experiment 3
UCI Handwritten Letter Recognition
----------------------------------
Iteration 0 Error: 3.4663046008443
Iteration 1 Error: 3.398403218125256
Iteration 2 Error: 3.3678642061768933
Iteration 3 Error: 3.33926808706041
Iteration 4 Error: 3.3098782848629336
Iteration 5 Error: 3.2745821044486245
Iteration 6 Error: 3.2826666972010243
Iteration 7 Error: 3.2405690144885577
Iteration 8 Error: 3.1990978689517804
Iteration 9 Error: 3.239896999318117
Iteration 10 Error: 3.219241268032104
Iteration 11 Error: 3.273833846756456
Iteration 12 Error: 3.27536424000459
Iteration 13 Error: 3.3085927536851996
Iteration 14 Error: 3.236730403523024
Iteration 15 Error: 3.217425914591041
Iteration 16 Error: 3.1933241295119092
Iteration 17 Error: 3.184240124265251
Iteration 18 Error: 3.2499135132335506
Iteration 19 Error: 3.2527904063154502
Iteration 20 Error: 3.2036985080951554
Iteration 21 Error: 3.206302829229344
Iteration 22 Error: 3.2874607650813803
Iteration 23 Error: 3.264471798065324
Iteration 24 Error: 3.209519915629106
Iteration 25 Error: 3.1752122686376425
Iteration 26 Error: 3.154351225526652
Iteration 27 Error: 3.199529774657544
Iteration 28 Error: 3.242436105372761
Iteration 29 Error: 3.210027756233148
Iteration 30 Error: 3.171605568827603
Iteration 31 Error: 3.2574203753861637
Iteration 32 Error: 3.195763579659618
Iteration 33 Error: 3.147027939733499
Iteration 34 Error: 3.1250021313843357
Iteration 35 Error: 3.268666430609403
Iteration 36 Error: 3.1849033182104156
Iteration 37 Error: 3.2312618230131074
Iteration 38 Error: 3.2219030890526095
Iteration 39 Error: 3.0646209675063454
Iteration 40 Error: 3.118343244324946
Iteration 41 Error: 3.1138949543364847
Iteration 42 Error: 3.0619991073169914
Iteration 43 Error: 3.1043801495208876
Iteration 44 Error: 3.0606087426720605
Iteration 45 Error: 3.2164117357962567
Iteration 46 Error: 3.0313222970650284
Iteration 47 Error: 3.0295448687808557
Iteration 48 Error: 3.011433861102555
Iteration 49 Error: 3.133273544266413
Iteration 50 Error: 3.0248040629339505
Iteration 51 Error: 3.135509599871156
Iteration 52 Error: 3.0898564092618193
Iteration 53 Error: 3.0635621909325326
Iteration 54 Error: 2.929367318523912
Iteration 55 Error: 2.970144586944286
Iteration 56 Error: 2.999198191190021
Iteration 57 Error: 3.1372956658021702
Iteration 58 Error: 3.0182095297768696
Iteration 59 Error: 2.977398342139637
Iteration 60 Error: 3.0177558622197798
Iteration 61 Error: 2.953862170977396
Iteration 62 Error: 2.966687129925826
Iteration 63 Error: 2.98150778363559
Iteration 64 Error: 3.0278063931697052
Iteration 65 Error: 2.982941732750936
Iteration 66 Error: 2.944768624721247
Iteration 67 Error: 2.998420639916464
Iteration 68 Error: 2.84315379265876
Iteration 69 Error: 2.864479227578808
Iteration 70 Error: 2.8490190374021895
Iteration 71 Error: 2.8276084902048386
Iteration 72 Error: 2.9177596807700206
Iteration 73 Error: 2.8642859646182632
Iteration 74 Error: 2.867567541357092
Iteration 75 Error: 2.824695834031308
Iteration 76 Error: 2.86945114509571
Iteration 77 Error: 2.9398419442760084
Iteration 78 Error: 2.8873546302829163
Iteration 79 Error: 2.9315276122014176
Iteration 80 Error: 3.021175542084038
Iteration 81 Error: 2.8870384370439903
Iteration 82 Error: 2.9461925808328338
Iteration 83 Error: 2.946576534015071
Iteration 84 Error: 2.85595060859781
Iteration 85 Error: 2.850033894633976
Iteration 86 Error: 2.9005116014868664
Iteration 87 Error: 2.9012327004061187
Iteration 88 Error: 2.8211362815846233
Iteration 89 Error: 2.8385045708934658
Iteration 90 Error: 2.8801876571645644
Iteration 91 Error: 2.897145240587652
Iteration 92 Error: 2.7989075360559856
Iteration 93 Error: 2.8004741780269735
Iteration 94 Error: 2.834017135115424
Iteration 95 Error: 2.8683881992029385
Iteration 96 Error: 2.7672996947710824
Iteration 97 Error: 2.7850993298388365
